Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1995-09-26,Multiparty signed/agreed,Intra,Pre,2,0,0,1,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-05-10,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1992-07-21,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,1
Burundi,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Burundi,Government,Africa (excl MENA),2005-03-18,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Burundi,Government,Africa (excl MENA),2004-08-06,Multiparty signed/agreed,Intra,SubPar,1,0,1,1,0
Burundi,Government,Africa (excl MENA),2003-11-02,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Burundi,Government,Africa (excl MENA),2002-12-02,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Burundi,Government,Africa (excl MENA),2001-10-28,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Burundi,Government,Africa (excl MENA),2000-08-28,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Burundi,Government,Africa (excl MENA),1994-09-10,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Burundi,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Burundi,Government,Africa (excl MENA),2006-09-07,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
Cambodia,Government,Asia and Pacific,1991-10-23,Multiparty signed/agreed,InterIntra,SubComp,2,1,0,1,1
Cambodia,Government,Asia and Pacific,1990-08-28,Unilateral document,InterIntra,Pre,1,0,0,1,0
Central African Republic,Inter-group,Africa (excl MENA),2017-06-10,Multiparty signed/agreed,IntraLocal,SubPar,1,1,1,0,0
Central African Republic,Inter-group,Africa (excl MENA),2018-05-03,Multiparty signed/agreed,IntraLocal,SubComp,1,1,1,0,0
Central African Republic,Inter-group,Africa (excl MENA),2017-12-19,Multiparty signed/agreed,IntraLocal,SubPar,1,1,0,0,0
Central African Republic,Inter-group,Africa (excl MENA),2017-12-14,Multiparty signed/agreed,IntraLocal,SubPar,1,0,1,0,0
Central African Republic,Government/territory,Africa (excl MENA),2017-07-17,Multiparty signed/agreed,InterIntra,Pre,2,0,0,0,1
Central African Republic,Government,Africa (excl MENA),2015-05-11,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Central African Republic,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Central African Republic,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Central African Republic,Government,Africa (excl MENA),2013-07-18,Multiparty signed/agreed,Intra,SubComp,2,1,1,1,1
Central African Republic,Government/territory,Africa (excl MENA),2013-04-18,Agreement with subsequent status,InterIntra,Pre,1,1,0,0,0
Central African Republic,Government,Africa (excl MENA),2013-01-11,Multiparty signed/agreed,Intra,Cea,1,0,0,1,0
Central African Republic,Government,Africa (excl MENA),2008-06-21,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Central African Republic,Government,Africa (excl MENA),2014-07-23,Multiparty signed/agreed,Intra,Cea,1,0,1,1,0
Central African Republic,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
China,Territory,Cross-regional,1996-04-25,Multiparty signed/agreed,Inter,Imp,1,0,0,0,1
China,Territory,Cross-regional,2001-07-16,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
Colombia,Government,Americas,2014-06-06,Multiparty signed/agreed,Intra,SubPar,3,0,1,0,1
Colombia,Government,Americas,2000-12-14,Multiparty signed/agreed,Intra,Pre,1,0,1,0,1
Colombia,Government,Americas,2015-07-12,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Colombia,Government,Americas,2015-12-15,Multiparty signed/agreed,Intra,SubPar,3,0,1,1,1
Colombia,Government,Americas,2014-08-05,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Colombia,Government,Americas,2014-05-16,Multiparty signed/agreed,Intra,SubPar,2,0,1,1,1
Colombia,Government,Americas,2012-08-26,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Colombia,Government,Americas,2002-01-20,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Colombia,Government,Americas,1990-03-09,Multiparty signed/agreed,Intra,SubComp,1,0,1,0,0
Colombia,Government,Americas,1990-08-26,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,0
Colombia,Government,Americas,1990-10-10,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Colombia,Government,Americas,1991-01-25,Multiparty signed/agreed,Intra,SubComp,1,0,1,1,0
Colombia,Government,Americas,1991-02-15,Multiparty signed/agreed,Intra,SubComp,2,0,1,0,0
Colombia,Government,Americas,1991-05-27,Multiparty signed/agreed,Intra,SubComp,1,0,1,0,0
Colombia,Government,Americas,1991-07-01,Multiparty signed/agreed,Intra,SubComp,3,0,1,1,1
Colombia,Government,Americas,2013-11-06,Multiparty signed/agreed,Intra,SubPar,3,0,1,1,0
Colombia,Government,Americas,1994-04-09,Multiparty signed/agreed,Intra,SubComp,1,0,1,0,0
Colombia,Government,Americas,1994-06-30,Multiparty signed/agreed,Intra,SubPar,2,0,1,0,0
Colombia,Government,Americas,1998-07-29,Multiparty signed/agreed,Intra,SubComp,1,0,1,0,0
Colombia,Government,Americas,1999-05-06,Multiparty signed/agreed,Intra,Pre,1,0,0,1,1
Colombia,Government,Americas,2000-01-28,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Colombia,Government,Americas,2001-02-09,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Colombia,Government,Americas,2001-05-11,Multiparty signed/agreed,InterIntra,Pre,1,0,0,0,1
Colombia,Government,Americas,2001-06-02,Multiparty signed/agreed,Intra,SubPar,1,0,0,1,0
Colombia,Government,Americas,1994-05-26,Multiparty signed/agreed,Intra,SubComp,2,0,1,0,0
Colombia,Government,Americas,2016-11-24,Multiparty signed/agreed,Intra,SubComp,3,0,0,0,1
Colombia,Government,Americas,2016-06-23,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
